SwitchOff:Concessions:Concessions Front:Complete:RpiZero5:637000177471381166:637000177471381166::
SwitchOff:Tower:Tower SW:Complete:RpiZero7:637000178708385671:637000178708385671::
SwitchOff:Tower:Tower NW:Complete:RpiZero10:637000178733218317:637000178733218317::
SwitchOff:Concessions:Concessions Entrance:Complete:RpiZero11:637000178747275576:637000178747275576::
SwitchOn:Concessions:Concessions Front:Complete:RpiZero5:637000179758752155:637000179758752155::
SwitchOff:Concessions:Concessions Front:Complete:RpiZero5:637000179884712346:637000179884712346::
SwitchOn:FrontGate:Gate Shack:Complete:RpiZero4:637000180137485532:637000180137485532::
SwitchOff:FrontGate:Gate Shack:Complete:RpiZero4:637000180192044464:637000180192044464::
SwitchOff:Tower:Tower SW:Complete:RpiZero7:637000183207274101:637000183207274101::
SwitchOff:Concessions:Concessions Front:Complete:RpiZero5:637000183208417482:637000183208417482::
SwitchOff:Tower:Tower NW:Complete:RpiZero10:637000183211443595:637000183211443595::
SwitchOff:Concessions:Concessions Entrance:Complete:RpiZero11:637000183217064584:637000183217064584::
SwitchOff:Tower:Tower SW:Complete:RpiZero7:637000184186557995:637000184186557995::
SwitchOff:Concessions:Concessions Front:Complete:RpiZero5:637000184188786175:637000184188786175::
SwitchOff:Concessions:Concessions Entrance:Complete:RpiZero11:637000184189664160:637000184189664160::
SwitchOff:Tower:Tower NW:Complete:RpiZero10:637000184190587935:637000184190587935::
Motion:Tower:Tower NW:Complete:RpiZero10:637000222960805925:637000223081044246:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729183816.mp4
Motion:Concessions:Concessions Front:Complete:RpiZero5:637000222997048170:637000223087778957:rpiZero5:/Surveillance\Concessions-Concessions Front-rpiZero5-20190729183819.mp4
Motion:Tower:Tower SW:Complete:RpiZero7:637000222998445988:637000223088563723:rpiZero7:/Surveillance\Tower-Tower SW-rpiZero7-20190729183819.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000223160979645:637000223311172650:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729183836.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000223331141468:637000223551542507:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729183853.mp4
Motion:Concessions:Concessions Front:Complete:RpiZero5:637000223627582012:637000223700852017:rpiZero5:/Surveillance\Concessions-Concessions Front-rpiZero5-20190729183922.mp4
Motion:Tower:Tower SW:Complete:RpiZero7:637000223628867073:637000223709012271:rpiZero7:/Surveillance\Tower-Tower SW-rpiZero7-20190729183922.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000223641402900:637000223731546571:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729183924.mp4
Motion:Concessions:Concessions Front:Complete:RpiZero5:637000223847882362:637000223999000553:rpiZero5:/Surveillance\Concessions-Concessions Front-rpiZero5-20190729183944.mp4
Motion:Tower:Tower SW:Complete:RpiZero7:637000223849044441:637000223999263416:rpiZero7:/Surveillance\Tower-Tower SW-rpiZero7-20190729183944.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000223821537590:637000224021761968:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729183942.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000224041737297:637000224091783607:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729184004.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000224111801496:637000224161884604:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729184011.mp4
Motion:Concessions:Concessions Entrance:Complete:RpiZero11:637000228225248584:637000228315320953:rpiZero11:/Surveillance\Concessions-Concessions Entrance-rpiZero11-20190729184702.mp4
